Store ID,Name,Brand,Store Number,Phone Number,Ownership Type,Street Combined,Street 1,Street 2,Street 3,City,Country Subdivision,Country,Postal Code,Coordinates,Latitude,Longitude,Timezone,Current Timezone Offset,Olson Timezone
5499,Grunwaldzki Center,Starbucks,3105-129884,48713861913,JV,Plac Grunwaldzki 23,Plac Grunwaldzki 23,,,Wroclaw,DS,PL,50-365,"(51.1127243041992, 17.0631198883057)",51.112724304199219,17.063119888305664,Central European Standard Time,120,GMT+1:00 Europe/Warsaw
5500,Zodiak,Starbucks,6200-130665,48713861687,JV,ul. Widok 26,ul. Widok 26,,,Warsaw,MZ,PL,00-023,"(52.2309303283691, 21.0124282836914)",52.230930328369141,21.012428283691406,Central European Standard Time,120,GMT+1:00 Europe/Warsaw
5501,Gruba Kaska,Starbucks,3106-130666,48713861993,JV,al.Solidarnosci 68 a,al.Solidarnosci 68 a,,,Warsaw,MZ,PL,00-240,"(52.2454605102539, 21.0016975402832)",52.245460510253906,21.001697540283203,Central European Standard Time,120,GMT+1:00 Europe/Warsaw
5502,Nowy Swiat,Starbucks,3107-130670,48713861953,JV,ul.Nowy Swiat 62,ul.Nowy Swiat 62,,,Warsaw,MZ,PL,00-357,"(52.2363929748535, 21.0183906555176)",52.236392974853516,21.018390655517578,Central European Standard Time,120,GMT+1:00 Europe/Warsaw
18960,Stary Browar,Starbucks,7200-150809,48713861923,JV,ul.Pólwiejska 42,ul.Pólwiejska 42,,,Poznan,WP,PL,61-888,"(52.402458190918, 16.9255962371826)",52.402458190917969,16.925596237182617,Central European Standard Time,120,GMT+1:00 Europe/Warsaw
19242,Galeria Krakowska,Starbucks,7072-148464,48713861734,JV,ul.Pawia 5,ul.Pawia 5,,,Krakow,MA,PL,31-154,"(50.0670013427734, 19.9455299377441)",50.067001342773438,19.945529937744141,Central European Standard Time,120,GMT+1:00 Europe/Warsaw
19335,Zebra,Starbucks,6160-148987,48713861558,JV,ul.Mokotowska 1,ul.Mokotowska 1,,,Warsaw,MZ,PL,00-635,"(52.2181243896484, 21.0166530609131)",52.218124389648438,21.016653060913086,Central European Standard Time,120,GMT+1:00 Europe/Warsaw
20128,Promenada,Starbucks,14882-154566,48713861454,JV,ul.Ostrobramska 75 c,ul.Ostrobramska 75 c,,,Warsaw,MZ,PL,04-175,"(52.2328338623047, 21.1085987091064)",52.232833862304688,21.108598709106445,Central European Standard Time,120,GMT+1:00 Europe/Warsaw
20129,Manhattan,Starbucks,14911-154568,48713861876,JV,al.Grunwaldzka 82,al.Grunwaldzka 82,,,Gdansk,PM,PL,80-244,"(54.3777198791504, 18.6079864501953)",54.377719879150391,18.607986450195312,Central European Standard Time,120,GMT+1:00 Europe/Warsaw
65769,Magnolia.,Starbucks,15765-164584,48713861609,JV,ul.Legnicka 58,ul.Legnicka 58,,,Wroclaw,DS,PL,54-204,"(51.119026184082, 16.9892196655273)",51.119026184082031,16.989219665527344,Central European Standard Time,120,GMT+1:00 Europe/Warsaw
65773,Galeria Krakowska - Level 1,Starbucks,15829-163724,48713861534,JV,"ul.Pawia 5, Level 1",ul.Pawia 5,Level 1,,Krakow,MA,PL,31-154,"(50.0670013427734, 19.9455299377441)",50.067001342773438,19.945529937744141,Central European Standard Time,120,GMT+1:00 Europe/Warsaw
68276,Swietojanska,Starbucks,15363-154846,48713861513,JV,ul.Armii Krajowej 28/1,ul.Armii Krajowej 28/1,,,Gdynia,PM,PL,81-366,"(54.5178680419922, 18.5412731170654)",54.517868041992188,18.54127311706543,Central European Standard Time,120,GMT+1:00 Europe/Warsaw
68287,WFC-,Starbucks,15974-154845,48713861389,JV,ul.Emilii Plater 53,ul.Emilii Plater 53,,,Warsaw,MZ,PL,00-113,"(52.2338447570801, 21.0019969940186)",52.233844757080078,21.001996994018555,Central European Standard Time,120,GMT+1:00 Europe/Warsaw
68291,Kaskada,Starbucks,16080-162287,48713861554,JV,ul.Niepodleglosci 36,ul.Niepodleglosci 36,,,Szczecin,ZP,PL,70-404,"(53.427791595459, 14.5511560440063)",53.427791595458984,14.551156044006348,Central European Standard Time,120,GMT+1:00 Europe/Warsaw
68393,Aleje Jerozolimskie,Starbucks,1299-130671,48713861607,JV,Al. Jerozolimskie 63,Al. Jerozolimskie 63,,,Warsaw,MZ,PL,00-697,"(52.2286262512207, 21.0055160522461)",52.2286262512207,21.005516052246094,Central European Standard Time,120,GMT+1:00 Europe/Warsaw
69532,Galeria Baltycka,Starbucks,7014-152669,48713861694,JV,al. Grunwaldzka 141,al. Grunwaldzka 141,,,Gdansk,PM,PL,80-264,"(54.3832054138184, 18.6001110076904)",54.383205413818359,18.60011100769043,Central European Standard Time,120,GMT+1:00 Europe/Warsaw
69721,Europlex,Starbucks,7158-150807,48713861679,JV,ul. Pulawska 17,ul. Pulawska 17,,,Warsaw,MZ,PL,02-515,"(52.210578918457, 21.0222091674805)",52.210578918457031,21.022209167480469,Central European Standard Time,120,GMT+1:00 Europe/Warsaw
69878,Bielany Wroclawskie,Starbucks,2125-138052,48713861674,JV,"ul. Czekoladowa 14A, Czekoladowa 14A",ul. Czekoladowa 14A,Czekoladowa 14A,,Bielany Wroclawskie,DS,PL,55-040,"(51.0467491149902, 16.9578189849854)",51.046749114990234,16.957818984985352,Central European Standard Time,120,GMT+1:00 Europe/Warsaw
86954,Plac Trzech Krzyzy,Starbucks,15975-156346,48713861589,JV,Plac Trzech Krzyzy 16,Plac Trzech Krzyzy 16,,,Warsaw,MZ,PL,00-499,"(52.230152130127, 21.0217819213867)",52.230152130126953,21.021781921386719,Central European Standard Time,120,GMT+1:00 Europe/Warsaw
88967,Sky Tower,Starbucks,2122-140666,48713861826,JV,ul. Powstanców Slaskich 95,ul. Powstanców Slaskich 95,,,Wroclaw,DS,PL,53-332,"(51.0939788818359, 17.0198497772217)",51.093978881835938,17.01984977722168,Central European Standard Time,120,GMT+1:00 Europe/Warsaw
89005,Warszawa PKP,Starbucks,16251-157566,48713861832,JV,Al. Jerozolimskie 54,Al. Jerozolimskie 54,,,Warsaw,MZ,PL,00-024,"(52.2284393310547, 21.0007705688477)",52.228439331054688,21.000770568847656,Central European Standard Time,120,GMT+1:00 Europe/Warsaw
89011,Poznań PKP,Starbucks,17259-162285,48713861842,JV,ul. Dworcowa,ul. Dworcowa,,,Poznan,WP,PL,61-801,"(52.4037208557129, 16.9122905731201)",52.403720855712891,16.912290573120117,Central European Standard Time,120,GMT+1:00 Europe/Warsaw
89067,Olawska,Starbucks,16799-173486,48713861807,JV,ul. Olawska 1/1,ul. Olawska 1/1,,,Wroclaw,DS,PL,50-123,"(51.1088485717773, 17.0333404541016)",51.108848571777344,17.033340454101562,Central European Standard Time,120,GMT+1:00 Europe/Warsaw
89386,Silesia City Center,Starbucks,17234-167205,48713861806,JV,ul. Chorzowska 107,ul. Chorzowska 107,,,Katowice,SL,PL,40-101,"(50.2723083496094, 18.9913005828857)",50.272308349609375,18.991300582885742,Central European Standard Time,120,GMT+1:00 Europe/Warsaw
90100,Brama Portowa,Starbucks,17597-170904,48713861914,JV,ul. Wyszynskiego 1,ul. Wyszynskiego 1,,,Szczecin,ZP,PL,70-556,"(53.4252891540527, 14.5518579483032)",53.425289154052734,14.551857948303223,Central European Standard Time,120,GMT+1:00 Europe/Warsaw
91816,Plaza ILM,Starbucks,9190-180604,48713861579,JV,"Druzbickiego 2, Plaza",Druzbickiego 2,,Plaza,Poznan,WP,PL,61-693,"(52.4414558410645, 16.919095993042)",52.441455841064453,16.919095993041992,Central European Standard Time,120,GMT+1:00 Europe/Warsaw
92620,Katowice PKP,Starbucks,17270-154571,48713861902,JV,Plac Szewczyka 1,Plac Szewczyka 1,,,Katowice,SL,PL,40-098,"(50.2584686279297, 19.0167541503906)",50.258468627929688,19.016754150390625,Central European Standard Time,120,GMT+1:00 Europe/Warsaw
94814,Grunwaldzka OBC,Starbucks,18443-176185,48713861804,JV,al. Grunwaldzka 472,al. Grunwaldzka 472,,,Gdansk,PM,PL,80-309,"(54.40283203125, 18.5722980499268)",54.40283203125,18.572298049926758,Central European Standard Time,120,GMT+1:00 Europe/Warsaw
113304,Wilenska,Starbucks,18442-176826,48713861915,JV,"Targowa 72, Praga Pólnoc",Targowa 72,Praga Pólnoc,,Warsaw,MZ,PL,03-734,"(52.2603950500488, 21.0465641021729)",52.260395050048828,21.046564102172852,Central European Standard Time,120,GMT+1:00 Europe/Warsaw
114046,Pasaz MM,Starbucks,18023-164585,48713861852,JV,"ul. Sw. Marcin 24, Galeria MM",ul. Sw. Marcin 24,Galeria MM,,Poznan,WP,PL,61-805,"(52.4063453674316, 16.9281692504883)",52.406345367431641,16.928169250488281,Central European Standard Time,120,GMT+1:00 Europe/Warsaw
1005730,Galeria Mokotow,Starbucks,19487-188884,48713861937,JV,"ul. Woloska 12, Warszawa Mokotów",ul. Woloska 12,Warszawa Mokotów,,Warszawa,MZ,PL,02-697,"(52.179759979248, 21.0042476654053)",52.179759979248047,21.004247665405273,Central European Standard Time,120,GMT+1:00 Europe/Warsaw
1005829,Galeria Katowicka,Starbucks,20230-154569,48713861956,JV,"ul. 3 maja 30, Ground Floor",ul. 3 maja 30,Ground Floor,,Katowice,SL,PL,40-097,"(50.2593803405762, 19.0176849365234)",50.259380340576172,19.017684936523438,W. Europe Standard Time,120,GMT+1:00 Europe/Warsaw
1006166,Riviera,Starbucks,2126-137171,48713861942,JV,ul. Kazimierza Gorskiego 2,ul. Kazimierza Gorskiego 2,,,Gdynia,PM,PL,81-304,"(54.502197265625, 18.5326023101807)",54.502197265625,18.532602310180664,Central European Standard Time,120,GMT+1:00 Europe/Warsaw
1006940,Coffee Square,Starbucks,21864-215551,48713863129,JV,ul. Józefa Pitsudskiego 58/1b,ul. Józefa Pitsudskiego 58/1b,,,Wroclaw,DS,PL,50-050,"(51.1014862060547, 17.0296669006348)",51.101486206054688,17.029666900634766,Central Europe Standard Time,120,GMT+1:00 Europe/Warsaw
1008205,PKP Wroclaw,Starbucks,21153-207144,48713863129,JV,"Ul. Pilsudskiego 105, Budynek dworca",Ul. Pilsudskiego 105,Budynek dworca,,Wroclaw,DS,PL,50-085,"(51.0989837646484, 17.0366458892822)",51.098983764648438,17.036645889282227,Cape Verde Standard Time,-60,GMT+1:00 Europe/Warsaw
1008087,Rondo ONZ,Starbucks,19756-199384,48713861585,JV,"Sliska 10, Warsaw Srodmiescie",Sliska 10,Warsaw Srodmiescie,,Warszawa,MZ,PL,00-127,"(52.2321586608887, 20.9996967315674)",52.232158660888672,20.999696731567383,Central European Standard Time,120,GMT+1:00 Europe/Warsaw
5503,Warszawa Galaxy,Starbucks,3977-138844,48713861553,JV,"Aleja solidarnosci, 82 Warszawa,",Aleja solidarnosci,"82 Warszawa,",,Warszawa,MZ,PL,00-144,"(52.2424659729004, 20.994312286377)",52.242465972900391,20.994312286376953,Central European Standard Time,120,GMT+1:00 Europe/Warsaw
